from,to,relationship colour,alpha,arrowsize
R,CND,LightSeaGreen,1,1
CND,S1COA,LightSeaGreen,0.25,0.25
CND,S2COA,LightSeaGreen,0.25,0.25
CND,S3COA,LightSeaGreen,0.25,0.25
CND,S4COA,LightSeaGreen,0.25,0.25
S1COA,S1FL,LightSeaGreen,0.25,0.25
S2COA,S2FL,LightSeaGreen,0.25,0.25
S3COA,S3FL,LightSeaGreen,0.25,0.25
S4COA,S4FL,LightSeaGreen,0.25,0.25
S1FL,S1F1,LightSeaGreen,0.038461538,0.038461538
S1FL,S1F2,LightSeaGreen,0.038461538,0.038461538
S1FL,S1F3,LightSeaGreen,0.038461538,0.038461538
S1FL,S1F4,LightSeaGreen,0.038461538,0.038461538
S1FL,S1F5,LightSeaGreen,0.038461538,0.038461538
S1FL,S1F6,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F1,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F2,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F3,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F4,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F5,LightSeaGreen,0.038461538,0.038461538
S2FL,S2F6,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F1,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F2,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F3,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F4,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F5,LightSeaGreen,0.038461538,0.038461538
S3FL,S3F6,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F1,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F2,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F3,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F4,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F5,LightSeaGreen,0.038461538,0.038461538
S4FL,S4F6,LightSeaGreen,0.038461538,0.038461538
S1F1,S1CW,LightSeaGreen,0.038461538,0.038461538
S1F2,S1CW,LightSeaGreen,0.038461538,0.038461538
S1F3,S1CW,LightSeaGreen,0.038461538,0.038461538
S1F4,S1CW,LightSeaGreen,0.038461538,0.038461538
S1F5,S1CW,LightSeaGreen,0.038461538,0.038461538
S1F6,S1CW,LightSeaGreen,0.038461538,0.038461538
S2F1,S2CW,LightSeaGreen,0.038461538,0.038461538
S2F2,S2CW,LightSeaGreen,0.038461538,0.038461538
S2F3,S2CW,LightSeaGreen,0.038461538,0.038461538
S2F4,S2CW,LightSeaGreen,0.038461538,0.038461538
S2F5,S2CW,LightSeaGreen,0.038461538,0.038461538
S2F6,S2CW,LightSeaGreen,0.038461538,0.038461538
S3F1,S3CW,LightSeaGreen,0.038461538,0.038461538
S3F2,S3CW,LightSeaGreen,0.038461538,0.038461538
S3F3,S3CW,LightSeaGreen,0.038461538,0.038461538
S3F4,S3CW,LightSeaGreen,0.038461538,0.038461538
S3F5,S3CW,LightSeaGreen,0.038461538,0.038461538
S3F6,S3CW,LightSeaGreen,0.038461538,0.038461538
S4F1,S4CW,LightSeaGreen,0.038461538,0.038461538
S4F2,S4CW,LightSeaGreen,0.038461538,0.038461538
S4F3,S4CW,LightSeaGreen,0.038461538,0.038461538
S4F4,S4CW,LightSeaGreen,0.038461538,0.038461538
S4F5,S4CW,LightSeaGreen,0.038461538,0.038461538
S4F6,S4CW,LightSeaGreen,0.038461538,0.038461538
S1CW,DIS,LightSeaGreen,0.25,0.25
S2CW,DIS,LightSeaGreen,0.25,0.25
S3CW,DIS,LightSeaGreen,0.25,0.25
S4CW,DIS,LightSeaGreen,0.25,0.25
